current_stage,stage_index,state,paf_count,area,open_litigations,resolved_litigations,compensation_pct,rehabilitation_progress_pct,days_in_current_stage,prior_stage_avg_days,stage_overrun_ratio,observed_elapsed_days,delay_label,delay_days,remaining_delay_days,started_day
3H,4,Maharashtra,59,76.5,2,0,65.1,35.2,238,46.2,3.967,423,0,166,163,1427
3G,3,Gujarat,72,14.2,1,0,66.1,62.1,104,59.1,1.156,281,0,153,231,1427
3C,1,Rajasthan,133,50.1,1,0,56.5,62.1,36,39.9,0.4,76,0,30,105,1426
3A,0,Tamil Nadu,93,40.8,1,3,89.9,70.4,25,33.1,0.417,58,0,4,6,1426
3C,1,Gujarat,160,26.6,1,0,44.0,29.1,8,63.4,0.089,71,0,32,111,1424
3G,3,Madhya Pradesh,256,50.1,4,1,59.9,67.9,245,81.0,2.722,488,1,447,319,1424
3A,0,Maharashtra,37,11.6,0,0,86.3,58.9,11,45.2,0.183,56,0,12,15,1424
3C,1,Andhra Pradesh,85,59.2,0,0,66.9,65.5,31,50.1,0.344,81,0,1,70,1423
3A,0,Uttar Pradesh,275,169.4,3,1,53.1,70.1,31,27.9,0.517,59,0,14,15,1423
3C,1,Rajasthan,107,68.6,1,1,43.3,52.6,49,36.9,0.544,86,0,53,117,1423
3A,0,Rajasthan,58,24.9,0,0,18.9,36.3,8,14.6,0.133,23,1,42,79,1422
3D,2,Rajasthan,927,634.6,1,0,75.8,66.5,63,54.1,0.525,171,0,0,91,1422
3A,0,Andhra Pradesh,521,242.3,1,1,56.7,40.8,20,61.1,0.333,81,1,85,64,1422
3A,0,Uttar Pradesh,39,28.3,1,0,78.6,73.1,34,19.8,0.567,54,0,4,10,1421
3G,3,Maharashtra,77,17.5,0,0,66.3,55.0,114,20.3,1.267,175,0,20,205,1421
3C,1,Rajasthan,100,53.6,0,0,57.9,42.5,63,46.7,0.7,110,1,88,129,1421
3G,3,Madhya Pradesh,610,353.3,6,1,51.3,35.5,33,132.3,0.367,430,1,839,769,1420
3D,2,Gujarat,117,3.0,0,0,43.2,44.9,66,6.2,0.55,78,0,37,229,1420
3A,0,Madhya Pradesh,58,22.5,0,0,76.9,63.3,22,27.2,0.367,49,0,9,20,1420
3C,1,Maharashtra,111,74.7,5,1,54.0,51.4,113,74.3,1.256,187,1,284,246,1419
3C,1,Rajasthan,91,28.9,0,0,54.4,49.0,66,49.8,0.733,116,1,82,116,1419
3E,5,Tamil Nadu,75,25.8,0,0,49.7,43.2,194,15.2,4.311,270,0,199,394,1418
3G,3,Tamil Nadu,132,47.5,0,0,84.4,72.4,80,88.9,0.889,347,0,98,111,1418
3A,0,Gujarat,155,35.6,0,0,42.4,33.1,7,17.6,0.117,25,0,10,45,1417
3H,4,Madhya Pradesh,332,111.2,1,2,42.4,21.1,156,34.7,2.6,295,1,631,757,1417
3C,1,Tamil Nadu,139,11.9,1,0,58.8,42.8,101,95.8,1.122,197,1,125,78,1416
3A,0,Andhra Pradesh,123,10.5,0,0,52.8,34.3,20,11.4,0.333,31,0,12,40,1416
3H,4,Maharashtra,116,56.5,1,3,97.6,76.7,303,21.6,5.05,390,0,11,42,1416
3H,4,Karnataka,95,10.9,1,2,77.6,30.6,107,75.3,1.783,408,0,118,130,1416
3D,2,Madhya Pradesh,63,21.2,1,1,74.0,60.6,71,88.8,0.592,249,0,91,113,1415
3H,4,Andhra Pradesh,45,4.8,1,1,68.1,69.8,88,85.2,1.467,429,0,153,144,1414
3C,1,Uttar Pradesh,86,49.2,0,0,92.3,79.3,35,89.0,0.389,124,0,0,18,1414
3D,2,Rajasthan,53,46.2,1,0,58.2,48.5,29,24.7,0.242,78,0,20,211,1413
3E,5,Tamil Nadu,155,88.0,1,0,41.3,33.0,24,39.6,0.533,222,1,276,519,1413
3C,1,Karnataka,80,28.2,1,1,55.1,42.4,83,17.9,0.922,101,0,50,99,1413
3C,1,Madhya Pradesh,144,109.5,1,2,60.4,47.5,55,79.2,0.611,134,0,37,53,1412
3C,1,Andhra Pradesh,52,23.4,0,1,90.7,66.0,62,55.3,0.689,117,0,0,33,1412
3C,1,Andhra Pradesh,41,32.7,0,0,57.5,62.0,26,54.2,0.289,80,0,6,76,1411
3D,2,Maharashtra,280,71.8,2,1,64.0,44.0,145,85.4,1.208,316,1,304,258,1410
3G,3,Tamil Nadu,382,192.4,0,0,57.7,43.4,59,47.5,0.656,201,1,344,502,1410
3G,3,Karnataka,373,191.3,1,1,52.8,51.2,114,67.6,1.267,317,1,283,326,1409
3H,4,Andhra Pradesh,51,12.9,0,1,78.9,54.3,33,78.7,0.55,348,0,123,195,1408
3G,3,Karnataka,140,83.0,0,0,72.9,49.1,137,24.5,1.522,211,0,20,170,1408
3D,2,Tamil Nadu,146,103.5,1,0,80.7,65.1,81,122.3,0.675,326,1,161,105,1407
3A,0,Madhya Pradesh,53,15.4,1,1,31.0,35.0,8,25.5,0.133,34,1,107,134,1406
3A,0,Madhya Pradesh,361,185.6,3,0,60.9,43.1,26,44.8,0.433,71,1,35,24,1406
3G,3,Tamil Nadu,86,11.7,2,0,45.3,55.8,129,52.0,1.433,285,1,467,542,1406
3C,1,Andhra Pradesh,814,327.4,2,0,43.8,63.0,110,75.3,1.222,185,1,187,152,1406
3H,4,Madhya Pradesh,17,13.9,1,1,63.9,41.8,147,42.4,2.45,317,1,421,525,1404
3G,3,Gujarat,155,41.8,0,0,66.9,49.3,164,45.9,1.822,302,0,95,153,1404
3D,2,Tamil Nadu,94,50.9,1,0,53.3,51.9,92,25.8,0.767,144,0,63,189,1404
3E,5,Gujarat,57,30.7,2,2,68.0,56.4,118,82.7,2.622,531,0,143,77,1402
3G,3,Madhya Pradesh,57,3.0,0,0,54.2,21.7,47,22.8,0.522,115,0,87,332,1402
3D,2,Tamil Nadu,1043,747.2,1,0,43.4,39.1,18,46.8,0.15,112,1,192,351,1401
3C,1,Andhra Pradesh,262,112.3,0,0,67.1,47.7,58,51.7,0.644,110,0,30,70,1400
3E,5,Maharashtra,199,74.5,0,0,50.4,39.8,42,31.7,0.933,201,0,101,365,1400
3C,1,Rajasthan,57,31.2,0,1,78.6,87.6,9,119.8,0.1,129,0,12,33,1399
3A,0,Maharashtra,70,3.0,1,0,48.6,38.0,27,21.0,0.45,48,1,41,53,1398
3E,5,Gujarat,222,158.3,4,2,25.8,46.7,256,54.5,5.689,529,1,1319,1256,1398
3A,0,Tamil Nadu,281,215.8,1,1,68.2,42.1,30,49.6,0.5,80,1,38,18,1398
3E,5,Uttar Pradesh,460,29.6,2,1,67.6,55.8,53,86.6,1.178,486,0,141,120,1398
3G,3,Andhra Pradesh,372,249.4,1,0,50.6,29.3,105,13.8,1.167,146,0,14,228,1397
3A,0,Tamil Nadu,32,37.8,1,0,56.1,56.3,8,10.7,0.133,19,0,0,39,1396
3D,2,Rajasthan,298,105.9,4,0,45.7,42.2,194,87.3,1.617,369,1,579,480,1396
3A,0,Andhra Pradesh,48,27.6,2,1,30.4,35.5,14,44.9,0.233,59,1,105,106,1396
3H,4,Karnataka,58,59.6,3,0,13.4,29.4,101,15.0,1.683,161,1,796,1055,1395
3G,3,Madhya Pradesh,185,69.5,0,0,68.7,63.2,112,53.9,1.244,274,0,51,137,1395
3A,0,Rajasthan,194,123.7,0,0,73.2,75.3,2,44.9,0.033,47,0,3,16,1395
3A,0,Andhra Pradesh,351,77.9,2,1,51.2,43.5,41,29.1,0.683,70,1,86,76,1395
3C,1,Andhra Pradesh,95,57.4,2,0,62.6,55.7,58,83.2,0.644,141,0,44,53,1395
3G,3,Uttar Pradesh,108,77.0,2,1,73.5,61.4,107,99.2,1.189,405,0,172,128,1394
3A,0,Maharashtra,130,78.0,0,0,76.7,58.7,12,28.2,0.2,40,0,6,26,1394
3A,0,Andhra Pradesh,116,78.9,2,1,42.0,38.5,31,12.6,0.517,44,1,100,116,1392
3E,5,Karnataka,154,74.2,1,0,58.4,36.7,117,45.6,2.6,345,1,246,366,1392
3H,4,Gujarat,143,96.8,0,1,41.9,30.8,103,43.7,1.717,278,1,462,604,1392
3H,4,Tamil Nadu,84,73.0,0,0,48.0,43.9,62,13.5,1.033,116,0,6,310,1392
3E,5,Gujarat,76,68.1,0,0,62.1,43.5,75,15.4,1.667,152,0,5,318,1392
3C,1,Rajasthan,84,19.6,3,1,50.2,63.5,72,105.0,0.8,177,1,97,70,1391
3E,5,Rajasthan,256,21.1,0,1,74.4,65.9,142,33.7,3.156,310,0,51,206,1389
3D,2,Karnataka,129,80.8,0,0,59.6,38.7,134,52.3,1.117,239,0,98,129,1388
3C,1,Maharashtra,68,30.3,0,0,41.8,69.3,49,32.7,0.544,82,1,106,175,1387
3H,4,Karnataka,396,191.0,1,0,55.3,62.7,113,77.0,1.883,421,0,86,85,1387
3A,0,Madhya Pradesh,401,234.5,2,2,35.9,38.6,17,34.6,0.283,52,1,77,85,1387
3G,3,Uttar Pradesh,224,113.2,1,2,50.7,34.6,207,64.6,2.3,401,1,379,338,1386
3E,5,Uttar Pradesh,133,20.4,1,1,92.9,59.5,170,55.1,3.778,445,0,113,132,1386
3C,1,Andhra Pradesh,79,46.1,0,1,77.7,70.9,38,60.0,0.422,98,0,0,43,1386
3G,3,Tamil Nadu,119,32.3,3,2,59.9,57.6,159,91.9,1.767,435,1,622,548,1385
3G,3,Andhra Pradesh,176,60.5,1,1,55.9,49.9,94,23.1,1.044,163,0,71,268,1385
3A,0,Uttar Pradesh,135,61.9,2,0,68.2,49.5,7,39.8,0.117,47,1,38,51,1384
3G,3,Madhya Pradesh,156,80.6,0,0,34.3,17.0,61,33.9,0.678,163,0,171,369,1384
3D,2,Madhya Pradesh,107,40.1,0,3,69.6,41.1,94,45.7,0.783,185,0,51,135,1384
3G,3,Madhya Pradesh,489,191.9,0,1,60.7,42.2,137,50.4,1.522,288,0,107,179,1383
3A,0,Uttar Pradesh,182,85.7,0,0,75.1,51.6,27,34.3,0.45,61,0,10,9,1382
3D,2,Uttar Pradesh,128,53.6,0,0,89.2,73.8,70,58.6,0.583,187,0,0,74,1382
3G,3,Tamil Nadu,80,72.8,0,0,73.5,59.7,39,88.0,0.433,303,0,24,81,1381
3D,2,Tamil Nadu,156,37.3,0,0,80.2,83.4,55,75.6,0.458,206,0,0,46,1380
3C,1,Madhya Pradesh,53,16.5,0,0,55.4,49.9,27,20.3,0.3,47,0,13,115,1379
3D,2,Madhya Pradesh,127,28.0,0,0,55.6,11.2,51,19.7,0.425,90,0,62,242,1379
3D,2,Maharashtra,395,153.8,1,0,44.5,52.1,111,17.0,0.925,145,0,80,205,1379
3C,1,Uttar Pradesh,28,3.0,0,1,68.2,66.1,14,157.0,0.156,171,0,53,32,1378
3D,2,Andhra Pradesh,83,42.6,3,0,47.1,50.8,207,52.0,1.725,311,1,262,221,1377
3H,4,Andhra Pradesh,62,64.3,0,0,62.9,47.3,51,40.2,0.85,212,0,0,195,1375
3A,0,Karnataka,40,18.4,1,0,31.7,51.2,21,19.9,0.35,41,1,61,80,1375
3A,0,Tamil Nadu,380,26.7,1,2,66.9,45.3,15,34.6,0.25,50,0,20,30,1374
3D,2,Rajasthan,19,25.0,0,1,72.9,44.5,64,45.4,0.533,155,0,0,102,1374
3D,2,Tamil Nadu,209,68.7,2,1,67.5,59.3,234,61.8,1.95,358,1,169,81,1374
3G,3,Gujarat,75,10.5,1,1,58.8,56.4,100,79.0,1.111,337,1,390,413,1374
3D,2,Rajasthan,124,30.2,1,0,66.7,52.0,54,57.3,0.45,169,0,20,121,1373
3C,1,Uttar Pradesh,109,20.7,1,0,55.2,71.2,64,106.0,0.711,170,0,45,25,1372
3E,5,Tamil Nadu,98,47.6,2,0,41.6,49.5,186,29.6,4.133,334,0,155,286,1371
3A,0,Uttar Pradesh,103,14.6,1,0,39.1,51.5,38,13.7,0.633,52,1,50,58,1371
3C,1,Karnataka,127,46.5,0,1,42.9,36.9,38,103.9,0.422,142,1,84,92,1371
3E,5,Karnataka,81,53.7,0,0,64.0,58.8,118,35.8,2.622,297,0,23,191,1371
3C,1,Tamil Nadu,321,125.4,1,0,41.4,44.4,36,61.4,0.4,97,1,174,227,1371
3C,1,Maharashtra,37,16.3,2,1,46.1,57.1,62,90.5,0.689,152,1,232,230,1371
3C,1,Gujarat,143,102.9,0,1,80.4,33.5,53,53.5,0.589,106,0,23,67,1371
3G,3,Andhra Pradesh,65,44.3,0,1,44.7,49.4,127,12.7,1.411,165,0,20,215,1369
3G,3,Tamil Nadu,99,47.9,0,0,82.8,73.4,204,33.1,2.267,303,0,41,98,1369
3D,2,Andhra Pradesh,202,137.5,4,1,51.6,51.9,101,125.4,0.842,352,1,543,462,1368
3C,1,Maharashtra,958,352.8,1,0,34.6,20.8,92,26.2,1.022,118,1,179,211,1368
3C,1,Madhya Pradesh,15,21.7,1,0,100.0,88.1,20,117.1,0.222,137,0,3,16,1368
3A,0,Tamil Nadu,133,48.2,4,0,38.8,69.2,26,54.0,0.433,80,1,149,129,1366
3E,5,Gujarat,119,34.3,0,0,60.4,46.3,30,31.3,0.667,187,0,139,417,1365
3A,0,Uttar Pradesh,171,84.3,0,0,63.0,51.6,22,35.3,0.367,57,0,24,27,1365
3H,4,Gujarat,152,67.3,1,0,80.2,38.5,251,39.6,4.183,409,0,149,160,1365
3A,0,Uttar Pradesh,426,205.6,0,1,28.8,40.6,15,7.3,0.25,22,0,28,66,1364
3D,2,Maharashtra,179,86.9,0,0,77.5,44.4,82,52.6,0.683,187,0,53,136,1364
3E,5,Uttar Pradesh,118,29.2,1,1,57.8,75.9,55,81.9,1.222,465,0,158,158,1364
3D,2,Karnataka,93,21.4,0,1,49.3,45.4,111,23.9,0.925,159,0,76,187,1363
3G,3,Karnataka,364,374.0,1,1,39.0,19.7,91,18.5,1.011,147,0,160,373,1363
3G,3,Maharashtra,161,87.0,1,0,50.0,63.4,156,27.2,1.733,238,0,24,147,1363
3A,0,Andhra Pradesh,65,24.0,0,2,65.9,64.9,19,32.3,0.317,51,0,24,33,1362
3E,5,Rajasthan,119,80.7,2,0,41.4,51.7,168,68.7,3.733,512,1,427,380,1361
3G,3,Gujarat,771,214.8,0,1,57.8,31.0,215,38.5,2.389,331,0,140,169,1361
3C,1,Maharashtra,97,20.7,0,1,79.9,70.6,28,112.5,0.311,141,0,23,33,1360
3C,1,Maharashtra,271,179.7,4,1,30.2,48.6,10,101.6,0.111,112,1,184,223,1359
3D,2,Uttar Pradesh,195,67.8,0,1,40.5,21.6,37,34.9,0.308,107,0,95,258,1359
3G,3,Rajasthan,81,45.9,0,0,62.6,18.9,65,15.4,0.722,111,0,54,303,1359
3G,3,Uttar Pradesh,276,92.7,1,1,39.3,28.0,75,20.5,0.833,136,1,334,557,1359
3A,0,Rajasthan,22,3.0,2,2,59.2,76.5,36,40.7,0.6,77,0,27,11,1358
3D,2,Andhra Pradesh,102,22.1,0,0,55.9,34.8,23,54.2,0.192,131,0,36,175,1357
3H,4,Madhya Pradesh,111,52.7,0,1,78.7,29.6,303,23.2,5.05,396,0,105,129,1356
3D,2,Andhra Pradesh,102,19.1,0,0,93.3,69.9,45,109.2,0.375,263,0,17,23,1354
3E,5,Andhra Pradesh,269,145.5,1,1,81.7,61.2,78,98.8,1.733,572,0,185,78,1354
3G,3,Gujarat,686,459.2,0,0,93.5,56.9,185,42.8,2.056,313,0,0,46,1354
3C,1,Madhya Pradesh,39,7.4,0,0,64.9,63.2,15,73.4,0.167,88,0,6,68,1353
3C,1,Uttar Pradesh,60,28.4,1,2,16.7,36.1,15,44.3,0.167,59,1,235,326,1353
3A,0,Andhra Pradesh,82,42.7,0,0,42.4,49.1,26,11.2,0.433,37,0,18,41,1351
3H,4,Tamil Nadu,119,94.5,1,2,57.1,30.1,62,36.1,1.033,206,0,104,318,1350
3G,3,Maharashtra,177,66.5,3,0,26.0,47.8,76,54.2,0.844,239,1,670,792,1348
3E,5,Maharashtra,174,29.3,0,0,44.1,33.6,89,13.3,1.978,155,0,4,313,1348
3E,5,Madhya Pradesh,137,75.8,0,0,43.8,49.8,42,30.4,0.933,194,0,33,305,1348
3G,3,Uttar Pradesh,217,227.1,1,0,61.7,44.2,146,44.7,1.622,280,0,99,179,1348
3D,2,Rajasthan,203,100.1,1,1,46.8,45.8,14,131.9,0.117,278,1,209,201,1348
3A,0,Gujarat,101,53.9,0,0,68.9,67.6,14,20.6,0.233,35,0,0,25,1347
3G,3,Gujarat,201,91.9,1,0,41.9,24.8,102,19.0,1.133,159,0,162,363,1347
3D,2,Karnataka,128,119.7,0,1,89.9,49.7,61,95.1,0.508,251,0,62,81,1347
3H,4,Gujarat,243,141.2,2,1,58.9,45.7,211,46.2,3.517,396,1,642,666,1347
3D,2,Gujarat,185,100.3,0,0,60.3,26.8,78,64.8,0.65,208,0,120,183,1347
3A,0,Maharashtra,270,143.2,4,2,40.1,43.1,45,33.2,0.75,78,1,58,40,1347
3C,1,Andhra Pradesh,380,112.2,0,0,85.8,69.0,50,87.5,0.556,138,0,7,19,1341
3A,0,Rajasthan,78,52.3,1,0,58.5,63.0,8,33.4,0.133,41,0,7,26,1340
3C,1,Maharashtra,323,45.7,0,0,88.3,57.4,99,11.2,1.1,110,0,3,43,1340
3A,0,Maharashtra,83,30.0,2,0,72.4,43.5,13,33.2,0.217,46,0,12,25,1339
3H,4,Uttar Pradesh,34,32.4,2,1,51.7,62.1,42,90.9,0.7,406,1,337,351,1339
3D,2,Andhra Pradesh,122,56.8,3,0,47.9,64.0,90,97.1,0.75,284,1,262,248,1339
3C,1,Rajasthan,39,32.2,1,1,71.2,46.6,54,92.5,0.6,147,0,24,27,1338
3D,2,Karnataka,51,26.9,5,1,30.2,32.3,130,82.3,1.083,295,1,659,634,1337
3C,1,Madhya Pradesh,124,36.2,4,0,36.5,51.8,66,82.4,0.733,148,1,268,270,1337
3A,0,Gujarat,145,66.9,1,2,58.6,42.3,6,21.3,0.1,27,0,10,43,1335
3D,2,Uttar Pradesh,131,28.6,0,1,69.0,63.7,14,65.9,0.117,146,0,16,140,1335
3G,3,Maharashtra,85,29.6,1,0,45.6,30.2,58,34.3,0.644,161,1,190,390,1334
3D,2,Karnataka,159,39.8,0,0,53.1,42.8,36,58.9,0.3,154,0,68,184,1333
3H,4,Tamil Nadu,96,61.8,1,0,58.8,42.8,109,94.2,1.817,486,0,149,83,1333
